Best results for each combination of array length and number of segments considering segments with the same size on Q4000.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;MT;MT;MT;MT;MT;MT;FT;FT;FT;MT;MT;MT
1;FC;FT;MT;MT;MT;FT;FT;FT;FT;FT;MT;MT;MT
2;R;FT;FC;FC;FT;FT;FT;FT;FT;FT;FT;MT;MT
3;R;R;R;R;FT;FT;FT;FT;FT;FT;FT;FT;FT
4;H;R;R;R;R;FT;FT;FT;FT;FT;FT;FT;FT
5;H;R;R;R;R;FT;FT;FT;FT;FT;FT;FT;FT
6;H;FT;R;R;R;FT;FT;FT;FT;FT;FT;FT;FT
7;H;FT;H;H;R;FT;FT;FT;FT;FT;FT;FT;FT
8;H;H;M;H;H;FT;FT;FT;FT;FT;FT;FT;FT
9;H;H;H;H;H;H;FT;FT;FT;FT;FT;FT;FT
10;H;H;M;H;H;H;FT;FT;FT;FT;FT;FT;FT
11;H;FT;M;H;H;H;FT;FT;FT;FT;FT;FT;FT
12;H;H;H;H;H;H;H;FT;FT;FT;FT;FT;FT
13;H;FT;H;H;H;H;H;FT;FT;FT;FT;FT;FT
14;H;H;M;H;H;H;H;H;H;M;FT;FT;FT
15;--;H;H;H;H;H;H;H;H;M;H;H;FT
16;--;--;H;H;H;H;H;H;H;M;H;H;H
17;--;--;--;H;H;M;H;H;H;M;H;H;H
18;--;--;--;--;H;H;M;H;H;M;H;H;H
19;--;--;--;--;--;FT;M;M;H;M;H;H;H
20;--;--;--;--;--;--;M;M;M;H;H;H;H
